,w_index,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Airport_Code,tavg_cat,prcp_cat,wspd_cat
83,CLT 2022-04-27,2022-04-27,16.4,5.0,23.9,0.0,0.0,356.0,10.8,,1020.3,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
84,CLT 2022-04-28,2022-04-28,16.2,6.1,24.4,0.0,0.0,340.0,8.3,,1020.7,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
85,CLT 2022-04-29,2022-04-29,18.1,12.2,24.4,0.0,0.0,320.0,7.2,,1019.9,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
86,CLT 2022-04-30,2022-04-30,21.2,16.7,27.2,0.0,0.0,211.0,11.5,,1018.5,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
87,CLT 2022-05-01,2022-05-01,20.5,13.9,27.8,0.0,0.0,216.0,12.2,,1017.3,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
88,CLT 2022-05-02,2022-05-02,22.6,16.7,30.6,0.0,0.0,207.0,9.4,,1016.8,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
89,CLT 2022-05-03,2022-05-03,23.7,17.2,30.6,2.0,0.0,203.0,14.0,,1016.2,,CLT,d) 20-30,b) 1-10,b) Light or Gentle Breeze
90,CLT 2022-05-04,2022-05-04,23.8,19.4,31.1,22.9,0.0,197.0,12.2,,1014.4,,CLT,d) 20-30,d) 20-30,b) Light or Gentle Breeze
91,CLT 2022-05-05,2022-05-05,21.9,17.2,27.8,0.0,0.0,32.0,11.2,,1015.5,,CLT,d) 20-30,a) 0-1,b) Light or Gentle Breeze
92,CLT 2022-05-06,2022-05-06,22.3,17.2,27.8,1.3,0.0,169.0,16.2,,1007.0,,CLT,d) 20-30,b) 1-10,b) Light or Gentle Breeze
93,CLT 2022-05-07,2022-05-07,19.3,12.8,24.4,0.3,0.0,288.0,12.2,,1002.6,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
94,CLT 2022-05-08,2022-05-08,13.5,10.0,15.6,0.0,0.0,38.0,19.1,,1014.6,,CLT,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
95,CLT 2022-05-09,2022-05-09,14.6,6.7,22.8,0.0,0.0,19.0,11.5,,1021.4,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
96,CLT 2022-05-10,2022-05-10,17.8,6.7,26.7,0.0,0.0,13.0,14.0,,1023.0,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
97,CLT 2022-05-11,2022-05-11,19.7,10.6,27.2,0.0,0.0,25.0,16.9,,1022.0,,CLT,c) 10-20,a) 0-1,b) Light or Gentle Breeze
98,CLT 2022-05-12,2022-05-12,20.3,14.4,25.6,0.8,0.0,38.0,19.8,,1019.9,,CLT,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
99,DEN 2022-04-10,2022-04-10,9.1,1.1,13.9,0.3,0.0,7.0,23.0,,1002.0,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
100,DEN 2022-04-11,2022-04-11,7.1,-3.2,18.3,0.0,0.0,174.0,23.8,,999.6,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
101,DEN 2022-04-12,2022-04-12,10.9,-3.2,15.6,0.0,0.0,314.0,25.2,,991.6,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
102,DEN 2022-04-13,2022-04-13,-0.7,-12.1,6.7,0.0,0.0,298.0,22.3,,1011.1,,DEN,a) <0,a) 0-1,c) Moderate or Fresh Breeze
103,DEN 2022-04-14,2022-04-14,3.3,-7.7,15.0,0.0,0.0,248.0,20.5,,1011.2,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
104,DEN 2022-04-15,2022-04-15,7.9,-2.1,16.1,0.0,0.0,94.0,19.4,,1007.8,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
105,DEN 2022-04-16,2022-04-16,4.2,-3.2,16.7,0.0,0.0,189.0,19.8,,1014.3,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
106,DEN 2022-04-17,2022-04-17,9.7,0.0,20.0,0.0,0.0,297.0,23.8,,1013.4,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
107,DEN 2022-04-18,2022-04-18,7.0,-5.5,18.3,0.0,0.0,116.0,19.1,,1020.9,,DEN,b) 0-10,a) 0-1,c) Moderate or Fresh Breeze
108,DEN 2022-04-19,2022-04-19,12.2,2.2,26.7,0.0,0.0,294.0,11.9,,1001.6,,DEN,c) 10-20,a) 0-1,b) Light or Gentle Breeze
109,DEN 2022-04-20,2022-04-20,14.8,1.7,21.1,0.0,0.0,106.0,21.2,,1003.3,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
110,DEN 2022-04-21,2022-04-21,14.8,3.9,26.7,0.0,0.0,154.0,34.6,,1007.4,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
111,DEN 2022-04-22,2022-04-22,21.6,10.6,31.7,0.0,0.0,197.0,32.8,,993.9,,DEN,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
112,DEN 2022-04-23,2022-04-23,13.7,1.1,16.7,0.0,0.0,293.0,20.9,,998.2,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
113,DEN 2022-04-24,2022-04-24,7.0,-2.1,12.8,0.0,0.0,29.0,16.9,,1016.9,,DEN,b) 0-10,a) 0-1,b) Light or Gentle Breeze
114,DEN 2022-04-25,2022-04-25,6.5,0.6,14.4,0.0,0.0,85.0,9.0,,1024.3,,DEN,b) 0-10,a) 0-1,b) Light or Gentle Breeze
115,DEN 2022-04-26,2022-04-26,10.5,2.2,22.8,0.0,0.0,172.0,15.5,,1016.0,,DEN,c) 10-20,a) 0-1,b) Light or Gentle Breeze
116,DEN 2022-04-27,2022-04-27,14.8,6.7,23.3,0.0,0.0,208.0,16.9,,1008.4,,DEN,c) 10-20,a) 0-1,b) Light or Gentle Breeze
117,DEN 2022-04-28,2022-04-28,15.2,5.0,25.0,0.0,0.0,203.0,19.4,,1003.6,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
118,DEN 2022-04-29,2022-04-29,15.5,3.9,18.9,1.3,0.0,308.0,25.9,,1001.2,,DEN,c) 10-20,b) 1-10,c) Moderate or Fresh Breeze
119,DEN 2022-04-30,2022-04-30,9.8,2.2,18.3,0.0,0.0,23.0,14.0,,1013.2,,DEN,b) 0-10,a) 0-1,b) Light or Gentle Breeze
120,DEN 2022-05-01,2022-05-01,9.8,0.0,20.0,10.7,0.0,133.0,26.6,,1010.4,,DEN,b) 0-10,c) 10-20,c) Moderate or Fresh Breeze
121,DEN 2022-05-02,2022-05-02,5.9,0.6,6.1,11.7,0.0,39.0,18.0,,1013.0,,DEN,b) 0-10,c) 10-20,b) Light or Gentle Breeze
122,DEN 2022-05-03,2022-05-03,5.2,0.0,15.0,0.5,0.0,11.0,14.4,,1010.4,,DEN,b) 0-10,a) 0-1,b) Light or Gentle Breeze
123,DEN 2022-05-04,2022-05-04,7.2,4.4,10.0,2.3,0.0,66.0,13.7,,1012.9,,DEN,b) 0-10,b) 1-10,b) Light or Gentle Breeze
124,DEN 2022-05-05,2022-05-05,9.8,4.4,20.6,0.0,0.0,294.0,12.6,,1012.7,,DEN,b) 0-10,a) 0-1,b) Light or Gentle Breeze
125,DEN 2022-05-06,2022-05-06,18.0,8.3,27.8,0.0,0.0,164.0,14.4,,1005.5,,DEN,c) 10-20,a) 0-1,b) Light or Gentle Breeze
126,DEN 2022-05-07,2022-05-07,20.9,10.0,31.7,0.0,0.0,218.0,21.2,,997.6,,DEN,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
127,DEN 2022-05-08,2022-05-08,15.7,6.7,25.0,0.0,0.0,167.0,28.8,,994.4,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
128,DEN 2022-05-09,2022-05-09,14.1,5.6,22.2,0.0,0.0,51.0,20.5,,997.7,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
129,DEN 2022-05-10,2022-05-10,12.7,2.2,27.2,0.0,0.0,68.0,17.6,,1011.4,,DEN,c) 10-20,a) 0-1,b) Light or Gentle Breeze
130,DEN 2022-05-11,2022-05-11,18.9,6.7,32.2,0.0,0.0,214.0,24.1,,1005.2,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
131,DEN 2022-05-12,2022-05-12,18.2,5.6,22.2,0.0,0.0,323.0,23.0,,1005.0,,DEN,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
132,DFW 2022-04-10,2022-04-10,22.8,16.7,30.0,0.0,0.0,176.0,38.2,,1005.0,,DFW,d) 20-30,a) 0-1,d) Strong Breeze or worse
133,DFW 2022-04-11,2022-04-11,24.8,21.7,31.7,0.0,0.0,185.0,29.2,,1004.9,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
134,DFW 2022-04-12,2022-04-12,24.8,18.9,28.9,6.4,0.0,172.0,29.2,,1004.0,,DFW,d) 20-30,b) 1-10,c) Moderate or Fresh Breeze
135,DFW 2022-04-13,2022-04-13,23.1,13.3,27.8,0.3,0.0,272.0,32.0,,1005.2,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
136,DFW 2022-04-14,2022-04-14,17.1,10.0,25.0,0.0,0.0,108.0,14.8,,1016.5,,DFW,c) 10-20,a) 0-1,b) Light or Gentle Breeze
137,DFW 2022-04-15,2022-04-15,20.1,13.3,28.9,0.0,0.0,163.0,24.5,,1010.5,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
138,DFW 2022-04-16,2022-04-16,24.0,13.9,27.2,0.0,0.0,194.0,21.6,,1010.9,,DFW,d) 20-30,a) 0-1,c) Moderate or Fresh Breeze
139,DFW 2022-04-17,2022-04-17,17.1,13.9,26.1,0.0,0.0,337.0,14.8,,1013.0,,DFW,c) 10-20,a) 0-1,b) Light or Gentle Breeze
140,DFW 2022-04-18,2022-04-18,17.3,10.6,23.9,0.0,0.0,45.0,18.7,,1021.7,,DFW,c) 10-20,a) 0-1,b) Light or Gentle Breeze
141,DFW 2022-04-19,2022-04-19,17.7,12.2,23.9,0.0,0.0,130.0,25.2,,1019.1,,DFW,c) 10-20,a) 0-1,c) Moderate or Fresh Breeze
